,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,IDList,6_Month,12_Month,24_Month,Lifetime
0,5008804,M,Y,Y,0,427500.0,Working,Higher education,Civil marriage,Rented apartment,-12005,-4542,1,1,0,0,Null,2.0,"[5008804, 5008805]",1.0,1.0,1.0,1.0
2,5008806,M,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-21474,-1134,1,0,0,0,Security staff,2.0,[5008806],0.0,0.0,0.0,0.0
3,5008808,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19110,-3051,1,0,1,1,Sales staff,1.0,"[5008808, 5008809, 5008810, 5008811]",1.0,1.0,1.0,0.0
7,5008812,F,N,Y,0,283500.0,Pensioner,Higher education,Separated,House / apartment,-22464,365243,1,0,0,0,Null,1.0,"[5008812, 5008813, 5008814]",0.0,0.0,1.0,0.0
10,5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-16872,-769,1,1,1,1,Accountants,2.0,"[5008815, 5112956]",0.0,0.0,0.0,0.0
13,5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17778,-1194,1,0,0,0,Laborers,2.0,"[5008819, 5008820, 5008821, 5008822, 5008823, 5008824]",1.0,1.0,1.0,0.0
19,5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,House / apartment,-10669,-1103,1,0,0,0,Accountants,2.0,"[5008825, 5008826]",1.0,1.0,1.0,1.0
21,5008830,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10031,-1469,1,0,1,0,Laborers,2.0,"[5008830, 5008831, 5008832]",0.0,1.0,1.0,1.0
24,5008834,F,N,Y,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10968,-1620,1,0,0,0,Null,2.0,"[5008834, 5008835]",0.0,0.0,1.0,0.0
27,5008836,M,Y,Y,3,270000.0,Working,Secondary / secondary special,Married,House / apartment,-12689,-1163,1,0,0,0,Laborers,5.0,"[5008836, 5008837]",0.0,0.0,1.0,0.0
29,5008838,M,N,Y,1,405000.0,Commercial associate,Higher education,Married,House / apartment,-11842,-2016,1,0,0,0,Managers,3.0,"[5008838, 5008839, 5008840, 5008841, 5008842, 5008843]",0.0,0.0,0.0,0.0
35,5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20502,-4450,1,0,1,0,Drivers,2.0,"[5008844, 5008846, 5008847, 5008849, 5008850, 5008851, 5008852, 5008853]",0.0,1.0,1.0,0.0
46,5008854,F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15761,-3173,1,0,0,0,Laborers,4.0,"[5008854, 5008855, 5008856, 5008857, 5008858, 5008859, 5008860, 5008861, 5008862, 5008863, 5008864, 5008865, 5008866, 5008867, 5112846]",1.0,1.0,1.0,0.0
62,5008868,F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-16212,-7099,1,0,0,0,Core staff,3.0,"[5008868, 5008870]",0.0,1.0,1.0,0.0
64,5008872,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16670,-5364,1,0,1,0,Security staff,2.0,[5008872],1.0,1.0,1.0,1.0
66,5008873,F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,-12411,-1773,1,0,0,1,Managers,4.0,"[5008873, 5008874, 5008875, 5008876, 5008877, 5008878, 5008879, 5008880, 5008881, 5008882]",0.0,1.0,1.0,1.0
76,5008884,F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20186,365243,1,0,0,0,Null,1.0,[5008884],0.0,0.0,0.0,0.0
77,5008888,F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,-17016,-1347,1,0,0,0,Core staff,1.0,"[5008888, 5008889, 5008890, 5112847]",1.0,1.0,1.0,0.0
81,5008891,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,"[5008891, 5008892, 5008893, 5008894, 5008895, 5008896, 5008897, 5008898, 5008899, 5008900, 5008901, 5008902, 5008903, 5008904, 5008905, 5008906, 5008907, 5008908, 5008909, 5008910, 5008911, 5008912, 5008913, 5008914, 5008915, 5008916, 5008917, 5008918, 5008919, 5008920, 5008921, 5008922, 5008923, 5008924, 5008925, 5008926, 5008927, 5008928, 5008929, 5008930, 5008931, 5008932, 5008933, 5008934, 5008935, 5008936, 5008937, 5008938, 5008939, 5008940, 5008941]",0.0,1.0,1.0,1.0
135,5008942,F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-13642,-4846,1,0,1,0,High skill tech staff,2.0,"[5008942, 5008943, 5008944, 5008945, 5008946]",0.0,1.0,1.0,1.0
140,5008947,M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15484,-1408,1,1,1,0,Drivers,2.0,"[5008947, 5008948, 5008949, 5008950]",0.0,0.0,1.0,0.0
144,5008951,M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-10321,-2808,1,0,0,0,Null,3.0,"[5008951, 5008952, 5008953, 5008954]",0.0,0.0,0.0,0.0
