,ID,Gender,Car,Property,Children,Income,Income_Type,Education,Marriage_Status,Housing,Age,Employment_Length,Mobile_Phone,Work_Phone,Phone,Email,Occupation,Family_Size,IDList,6_Month,12_Month,24_Month,Lifetime
0,5008804,1,1,1,0.0,0.25872093023255816,Working,Higher education,Civil marriage,Rented apartment,0.25567570627866154,0.71170998980632,1,1,0,0,Null,0.05263157894736842,"[5008804, 5008805]",1.0,1.0,1.0,1.0
1,5008806,1,1,1,0.0,0.055232558139534885,Working,Secondary / secondary special,Married,House / apartment,0.7917681028137915,0.928835372069317,1,0,0,0,Security staff,0.05263157894736842,[5008806],0.0,0.0,0.0,0.0
2,5008808,0,0,1,0.0,0.1569767441860465,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.6579290041329331,0.8067023445463812,1,0,1,1,Sales staff,0.0,"[5008808, 5008809, 5008810, 5008811]",1.0,1.0,1.0,0.0
3,5008812,0,0,1,0.0,0.16569767441860467,Pensioner,Higher education,Separated,House / apartment,0.8478174715506992,24.270897043832825,1,0,0,0,Null,0.0,"[5008812, 5008813, 5008814]",0.0,0.0,1.0,0.0
4,5008815,1,1,1,0.0,0.1569767441860465,Working,Higher education,Married,House / apartment,0.5312234614731359,0.9520897043832823,1,1,1,1,Accountants,0.05263157894736842,"[5008815, 5112956]",0.0,0.0,0.0,0.0
5,5008819,1,1,1,0.0,0.06976744186046512,Commercial associate,Secondary / secondary special,Married,House / apartment,0.5825171261960029,0.925012742099898,1,0,0,0,Laborers,0.05263157894736842,"[5008819, 5008820, 5008821, 5008822, 5008823, 5008824]",1.0,1.0,1.0,0.0
6,5008825,0,1,0,0.0,0.06686046511627908,Working,Incomplete higher,Married,House / apartment,0.18003736624582456,0.9308103975535168,1,0,0,0,Accountants,0.05263157894736842,"[5008825, 5008826]",1.0,1.0,1.0,1.0
7,5008830,0,0,1,0.0,0.08430232558139535,Working,Secondary / secondary special,Married,House / apartment,0.14391666194870623,0.9074923547400612,1,0,1,0,Laborers,0.05263157894736842,"[5008830, 5008831, 5008832]",0.0,1.0,1.0,1.0
8,5008834,0,0,1,0.05263157894736842,0.055232558139534885,Working,Secondary / secondary special,Single / not married,House / apartment,0.19696540791485018,0.8978720693170235,1,0,0,0,Null,0.05263157894736842,"[5008834, 5008835]",0.0,0.0,1.0,0.0
9,5008836,1,1,1,0.15789473684210525,0.1569767441860465,Working,Secondary / secondary special,Married,House / apartment,0.2944007246787068,0.9269877675840978,1,0,0,0,Laborers,0.21052631578947367,"[5008836, 5008837]",0.0,0.0,1.0,0.0
10,5008838,1,0,1,0.05263157894736842,0.24418604651162792,Commercial associate,Higher education,Married,House / apartment,0.24644737587046361,0.8726427115188583,1,0,0,0,Managers,0.10526315789473684,"[5008838, 5008839, 5008840, 5008841, 5008842, 5008843]",0.0,0.0,0.0,0.0
11,5008844,1,1,1,0.0,0.055232558139534885,Commercial associate,Secondary / secondary special,Married,House / apartment,0.7367378135084639,0.7175713557594292,1,0,1,0,Drivers,0.05263157894736842,"[5008844, 5008846, 5008847, 5008849, 5008850, 5008851, 5008852, 5008853]",0.0,1.0,1.0,0.0
12,5008854,0,1,1,0.10526315789473684,0.06976744186046512,Working,Secondary / secondary special,Married,House / apartment,0.46832361433505065,0.7989296636085627,1,0,0,0,Laborers,0.15789473684210525,"[5008854, 5008855, 5008856, 5008857, 5008858, 5008859, 5008860, 5008861, 5008862, 5008863, 5008864, 5008865, 5008866, 5008867, 5112846]",1.0,1.0,1.0,0.0
13,5008868,0,0,1,0.05263157894736842,0.11918604651162792,State servant,Secondary / secondary special,Civil marriage,House / apartment,0.4938572156485308,0.548802242609582,1,0,0,0,Core staff,0.10526315789473684,"[5008868, 5008870]",0.0,1.0,1.0,0.0
14,5008872,1,1,1,0.0,0.21511627906976746,Commercial associate,Secondary / secondary special,Married,House / apartment,0.5197871256298476,0.6593399592252803,1,0,1,0,Security staff,0.05263157894736842,[5008872],1.0,1.0,1.0,1.0
15,5008873,0,0,1,0.10526315789473684,0.06395348837209303,Commercial associate,Higher education,Married,House / apartment,0.27866160901319137,0.8881243628950051,1,0,0,1,Managers,0.15789473684210525,"[5008873, 5008874, 5008875, 5008876, 5008877, 5008878, 5008879, 5008880, 5008881, 5008882]",0.0,1.0,1.0,1.0
16,5008884,0,0,1,0.0,0.18604651162790697,Pensioner,Secondary / secondary special,Widow,House / apartment,0.7188473079318349,24.270897043832825,1,0,0,0,Null,0.0,[5008884],0.0,0.0,0.0,0.0
17,5008888,0,0,1,0.0,0.14244186046511628,Commercial associate,Higher education,Separated,Rented apartment,0.539376096925777,0.9152650356778798,1,0,0,0,Core staff,0.0,"[5008888, 5008889, 5008890, 5112847]",1.0,1.0,1.0,0.0
18,5008891,0,0,1,0.0,0.1744186046511628,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0.4546226575326954,0.7950433231396534,1,0,0,0,Laborers,0.0,"[5008891, 5008892, 5008893, 5008894, 5008895, 5008896, 5008897, 5008898, 5008899, 5008900, 5008901, 5008902, 5008903, 5008904, 5008905, 5008906, 5008907, 5008908, 5008909, 5008910, 5008911, 5008912, 5008913, 5008914, 5008915, 5008916, 5008917, 5008918, 5008919, 5008920, 5008921, 5008922, 5008923, 5008924, 5008925, 5008926, 5008927, 5008928, 5008929, 5008930, 5008931, 5008932, 5008933, 5008934, 5008935, 5008936, 5008937, 5008938, 5008939, 5008940, 5008941]",0.0,1.0,1.0,1.0
19,5008942,0,0,0,0.0,0.08430232558139535,Commercial associate,Higher education,Married,House / apartment,0.3483553190284775,0.6923419979612639,1,0,1,0,High skill tech staff,0.05263157894736842,"[5008942, 5008943, 5008944, 5008945, 5008946]",0.0,1.0,1.0,1.0
